sequence,symbol,project_security_type,exchange_code,exchange_name,exchange_groups,source_membership,app_watchlists,exchange_watchlists,name,currency,canonical_metadata_source,symbol_syntax,review_status,review_notes
1453,JPY=X,Currency,CCY,CCY,Global,EXCHANGE_ONLY,,Global,USD/JPY,JPY,ALL_EXCHANGES,VALID,OK,
1454,CAD=X,Currency,CCY,CCY,Global,EXCHANGE_ONLY,,Global,USD/CAD,CAD,ALL_EXCHANGES,VALID,OK,
1455,CHF=X,Currency,CCY,CCY,Global,EXCHANGE_ONLY,,Global,USD/CHF,CHF,ALL_EXCHANGES,VALID,OK,
1456,BTC-USD,Cryptocurrency,CCC,CCC,Exchs; Global,EXCHANGE_ONLY,,Exchs; Global,Bitcoin USD,USD,ALL_EXCHANGES,VALID,OK,
1457,USDT-USD,Cryptocurrency,CCC,CCC,Global,EXCHANGE_ONLY,,Global,Tether USDt USD,USD,ALL_EXCHANGES,VALID,OK,
1458,ETH-USD,Cryptocurrency,CCC,CCC,Global,EXCHANGE_ONLY,,Global,Ethereum USD,USD,ALL_EXCHANGES,VALID,OK,
1459,SOL-USD,Cryptocurrency,CCC,CCC,Global,EXCHANGE_ONLY,,Global,Solana USD,USD,ALL_EXCHANGES,VALID,OK,
1460,XRP-USD,Cryptocurrency,CCC,CCC,Global,EXCHANGE_ONLY,,Global,XRP USD,USD,ALL_EXCHANGES,VALID,OK,
1461,DOGE-USD,Cryptocurrency,CCC,CCC,Global,EXCHANGE_ONLY,,Global,Dogecoin USD,USD,ALL_EXCHANGES,VALID,OK,
1462,CNY=X,Currency,CCY,CCY,Global,EXCHANGE_ONLY,,Global,USD/CNY,CNY,ALL_EXCHANGES,VALID,OK,
1463,EURUSD=X,Currency,CCY,CCY,Global,EXCHANGE_ONLY,,Global,EUR/USD,USD,ALL_EXCHANGES,VALID,OK,
1464,GBPUSD=X,Currency,CCY,CCY,Global,EXCHANGE_ONLY,,Global,GBP/USD,USD,ALL_EXCHANGES,VALID,OK,
1465,AUDUSD=X,Currency,CCY,CCY,Global,EXCHANGE_ONLY,,Global,AUD/USD,USD,ALL_EXCHANGES,VALID,OK,
1466,NZDUSD=X,Currency,CCY,CCY,Global,EXCHANGE_ONLY,,Global,NZD/USD,USD,ALL_EXCHANGES,VALID,OK,
1467,3033.HK,ETF,HKSE,HKSE,Global,EXCHANGE_ONLY,,Global,CSOP ETF Series - CSOP Hang Seng TECH Index ETF,HKD,ALL_EXCHANGES,VALID,OK,
1468,2800.HK,ETF,HKSE,HKSE,Global,EXCHANGE_ONLY,,Global,Tracker Fund Of Hong Kong,HKD,ALL_EXCHANGES,VALID,OK,
1469,0700.HK,Stock,HKSE,HKSE,Exchs,EXCHANGE_ONLY,,Exchs,Tencent Holdings Limited,HKD,ALL_EXCHANGES,VALID,OK,
1470,7203.T,Stock,Tokyo,Tokyo,Exchs,EXCHANGE_ONLY,,Exchs,Toyota Motor Corporation,JPY,ALL_EXCHANGES,VALID,OK,
1471,1321.T,ETF,Tokyo,Tokyo,Global,EXCHANGE_ONLY,,Global,NEXT FUNDS Nikkei 225 Exchange Traded Fund,JPY,ALL_EXCHANGES,VALID,OK,
1472,1306.T,ETF,Tokyo,Tokyo,Global,EXCHANGE_ONLY,,Global,NEXT FUNDS TOPIX Exchange Traded Fund,JPY,ALL_EXCHANGES,VALID,OK,
1473,005930.KS,Stock,KSE,KSE,Global,EXCHANGE_ONLY,,Global,"Samsung Electronics Co., Ltd.",KRW,ALL_EXCHANGES,VALID,OK,
1474,2317.TW,Stock,Taiwan,Taiwan,Global,EXCHANGE_ONLY,,Global,"Hon Hai Precision Industry Co., Ltd.",TWD,ALL_EXCHANGES,VALID,OK,
1475,BHP.AX,Stock,ASX,ASX,Exchs; Global,EXCHANGE_ONLY,,Exchs; Global,BHP Group Limited,AUD,ALL_EXCHANGES,VALID,OK,
1476,2330.TW,Stock,Taiwan,Taiwan,Global,EXCHANGE_ONLY,,Global,Taiwan Semiconductor Manufacturing Company Limited,TWD,ALL_EXCHANGES,VALID,OK,
1477,VAS.AX,ETF,ASX,ASX,Global,EXCHANGE_ONLY,,Global,Vanguard Australian Shares Index ETF,AUD,ALL_EXCHANGES,VALID,OK,
1478,STW.AX,ETF,ASX,ASX,Global,EXCHANGE_ONLY,,Global,SPDR ETFs Australia - State Street SPDR S&P/ASX 200 ETF,AUD,ALL_EXCHANGES,VALID,OK,
1479,VTSAX,Mutual Fund,Nasdaq,Nasdaq,Global; US,EXCHANGE_ONLY,,Global; US,Vanguard Morn Total Stk Mkt Idx Admiral,USD,ALL_EXCHANGES,VALID,OK,
1480,VFIAX,Mutual Fund,Nasdaq,Nasdaq,US,EXCHANGE_ONLY,,US,Vanguard 500 Index Fund,USD,ALL_EXCHANGES,VALID,OK,
1481,VBTLX,Mutual Fund,Nasdaq,Nasdaq,US,EXCHANGE_ONLY,,US,Vanguard Total Bond Market Index Fund,USD,ALL_EXCHANGES,VALID,OK,
1482,VTIAX,Mutual Fund,Nasdaq,Nasdaq,US,EXCHANGE_ONLY,,US,Vanguard Total Intl Stock Index Admiral,USD,ALL_EXCHANGES,VALID,OK,
1483,PETR4.SA,Stock,São Paulo,São Paulo,Global,EXCHANGE_ONLY,,Global,Petróleo Brasileiro S.A. - Petrobras,BRL,ALL_EXCHANGES,VALID,OK,
1484,VALE3.SA,Stock,São Paulo,São Paulo,Exchs; Global,EXCHANGE_ONLY,,Exchs; Global,Vale S.A.,BRL,ALL_EXCHANGES,VALID,OK,
1485,MPLX,Stock,NYSE,NYSE,US,EXCHANGE_ONLY,,US,MPLX LP,USD,ALL_EXCHANGES,VALID,OK,
1486,BIP,Stock,NYSE,NYSE,US,EXCHANGE_ONLY,,US,Brookfield Infrastructure Partners L.P.,USD,ALL_EXCHANGES,VALID,OK,
1487,HEI-A,Stock,NYSE,NYSE,US,EXCHANGE_ONLY,,US,HEICO Corporation,USD,ALL_EXCHANGES,VALID,OK,
1488,BST,Stock,NYSE,NYSE,US,EXCHANGE_ONLY,,US,BlackRock Science and Technology Trust,USD,ALL_EXCHANGES,VALID,OK,
1489,CWEN,Stock,NYSE,NYSE,US,EXCHANGE_ONLY,,US,"Clearway Energy, Inc.",USD,ALL_EXCHANGES,VALID,OK,
1490,SAP,Stock,NYSE,NYSE,US,EXCHANGE_ONLY,,US,SAP SE,USD,ALL_EXCHANGES,VALID,OK,
1491,TM,Stock,NYSE,NYSE,US,EXCHANGE_ONLY,,US,Toyota Motor Corporation,USD,ALL_EXCHANGES,VALID,OK,
1492,BSM,Stock,NYSE,NYSE,US,EXCHANGE_ONLY,,US,"Black Stone Minerals, L.P.",USD,ALL_EXCHANGES,VALID,OK,
1493,PBR-A,Stock,NYSE,NYSE,US,EXCHANGE_ONLY,,US,Petróleo Brasileiro S.A. - Petrobras,USD,ALL_EXCHANGES,VALID,OK,
1494,UTF,Stock,NYSE,NYSE,US,EXCHANGE_ONLY,,US,"Cohen & Steers Infrastructure Fund, Inc",USD,ALL_EXCHANGES,VALID,OK,
1495,PAA,Stock,NasdaqGS,NasdaqGS,US,EXCHANGE_ONLY,,US,"Plains All American Pipeline, L.P.",USD,ALL_EXCHANGES,VALID,OK,
1496,TLT,ETF,NasdaqGM,NasdaqGM,US,EXCHANGE_ONLY,,US,iShares 20+ Year Treasury Bond ETF,USD,ALL_EXCHANGES,VALID,OK,
1497,IEF,ETF,NasdaqGM,NasdaqGM,US,EXCHANGE_ONLY,,US,iShares 7-10 Year Treasury Bond ETF,USD,ALL_EXCHANGES,VALID,OK,
1498,BND,ETF,NasdaqGM,NasdaqGM,US,EXCHANGE_ONLY,,US,Vanguard Total Bond Market Index Fund,USD,ALL_EXCHANGES,VALID,OK,
1499,SQQQ,ETF,NasdaqGM,NasdaqGM,US,EXCHANGE_ONLY,,US,ProShares UltraPro Short QQQ,USD,ALL_EXCHANGES,VALID,OK,
1500,USAS,Stock,NYSE American,NYSE American,US,EXCHANGE_ONLY,,US,Americas Gold and Silver Corporation,USD,ALL_EXCHANGES,VALID,OK,
1501,DNN,Stock,NYSE American,NYSE American,US,EXCHANGE_ONLY,,US,Denison Mines Corp.,USD,ALL_EXCHANGES,VALID,OK,
1502,SENS,Stock,NasdaqGS,NasdaqGS,US,EXCHANGE_ONLY,,US,"Senseonics Holdings, Inc.",USD,ALL_EXCHANGES,VALID,OK,
1503,UUUU,Stock,NYSE American,NYSE American,US,EXCHANGE_ONLY,,US,Energy Fuels Inc.,USD,ALL_EXCHANGES,VALID,OK,
1504,IWM,ETF,NYSEArca,NYSEArca,US,EXCHANGE_ONLY,,US,iShares Russell 2000 ETF,USD,ALL_EXCHANGES,VALID,OK,
1505,DIA,ETF,NYSEArca,NYSEArca,US,EXCHANGE_ONLY,,US,State Street SPDR Dow Jones Industrial Average ETF Trust,USD,ALL_EXCHANGES,VALID,OK,
1506,VTI,ETF,NYSEArca,NYSEArca,US,EXCHANGE_ONLY,,US,Vanguard Morningstar Total Stock Market ETF,USD,ALL_EXCHANGES,VALID,OK,
1507,RSP,ETF,NYSEArca,NYSEArca,US,EXCHANGE_ONLY,,US,Invesco S&P 500 Equal Weight ETF,USD,ALL_EXCHANGES,VALID,OK,
1508,HYG,ETF,NYSEArca,NYSEArca,US,EXCHANGE_ONLY,,US,iShares iBoxx $ High Yield Corporate Bond ETF,USD,ALL_EXCHANGES,VALID,OK,
1509,LQD,ETF,NYSEArca,NYSEArca,US,EXCHANGE_ONLY,,US,iShares iBoxx $ Investment Grade Corporate Bond ETF,USD,ALL_EXCHANGES,VALID,OK,
1510,GLD,ETF,NYSEArca,NYSEArca,US,EXCHANGE_ONLY,,US,SPDR Gold Shares,USD,ALL_EXCHANGES,VALID,OK,
1511,SLV,ETF,NYSEArca,NYSEArca,US,EXCHANGE_ONLY,,US,iShares Silver Trust,USD,ALL_EXCHANGES,VALID,OK,
1512,USO,ETF,NYSEArca,NYSEArca,US,EXCHANGE_ONLY,,US,"United States Oil Fund, LP",USD,ALL_EXCHANGES,VALID,OK,
1513,ARKK,ETF,Cboe US,Cboe US,US,EXCHANGE_ONLY,,US,ARK Innovation ETF,USD,ALL_EXCHANGES,VALID,OK,
1514,UTG,Stock,NYSE,NYSE,US,EXCHANGE_ONLY,,US,Reaves Utility Income Fund,USD,ALL_EXCHANGES,VALID,OK,
1515,XIU.TO,ETF,Toronto,Toronto,Global,EXCHANGE_ONLY,,Global,iShares S&P/TSX 60 Index ETF,CAD,ALL_EXCHANGES,VALID,OK,
1516,ZCN.TO,ETF,Toronto,Toronto,Global,EXCHANGE_ONLY,,Global,BMO S&P/TSX Capped Composite Index ETF,CAD,ALL_EXCHANGES,VALID,OK,
1517,HSBA.L,Stock,LSE,LSE,Exchs,EXCHANGE_ONLY,,Exchs,HSBC Holdings plc,GBX,ALL_EXCHANGES,VALID,OK,
