symbol,name,country_or_market,market_state,observation_count,first_observed_at_utc,last_observed_at_utc,first_round_index,last_round_index,pre_market_field_observation_count,post_market_field_observation_count
0700.HK,Tencent Holdings Limited,Hong Kong,POSTPOST,31,2026-07-29T08:22:55.565Z,2026-07-29T15:52:55.501Z,31,61,0,0
0700.HK,Tencent Holdings Limited,Hong Kong,PRE,4,2026-07-29T01:07:55.842Z,2026-07-30T01:22:54.943Z,2,99,0,0
0700.HK,Tencent Holdings Limited,Hong Kong,PREPRE,37,2026-07-29T00:52:56.418Z,2026-07-30T00:52:55.104Z,1,97,0,0
0700.HK,Tencent Holdings Limited,Hong Kong,REGULAR,33,2026-07-29T01:37:55.696Z,2026-07-30T02:52:54.935Z,4,105,0,0
7203.T,Toyota Motor Corporation,Japan,POSTPOST,34,2026-07-29T06:37:55.515Z,2026-07-29T14:52:55.364Z,24,57,0,0
7203.T,Toyota Motor Corporation,Japan,PREPRE,36,2026-07-29T15:07:55.622Z,2026-07-29T23:52:54.976Z,58,93,0,0
7203.T,Toyota Motor Corporation,Japan,REGULAR,35,2026-07-29T00:52:56.265Z,2026-07-30T02:52:54.798Z,1,105,0,0
AAPL,Apple Inc.,United States,POST,16,2026-07-29T20:07:54.101Z,2026-07-29T23:52:53.944Z,78,93,0,16
AAPL,Apple Inc.,United States,POSTPOST,25,2026-07-29T00:52:55.247Z,2026-07-30T02:52:53.788Z,1,105,0,25
AAPL,Apple Inc.,United States,PRE,22,2026-07-29T08:07:54.559Z,2026-07-29T13:22:54.317Z,30,51,22,0
AAPL,Apple Inc.,United States,PREPRE,16,2026-07-29T04:07:54.709Z,2026-07-29T07:52:54.558Z,14,29,0,16
AAPL,Apple Inc.,United States,REGULAR,26,2026-07-29T13:37:54.317Z,2026-07-29T19:52:54.101Z,52,77,0,0
AIR.PA,Airbus SE,France,POSTPOST,26,2026-07-29T15:37:55.008Z,2026-07-29T21:52:54.756Z,60,85,0,0
AIR.PA,Airbus SE,France,PREPRE,45,2026-07-29T00:52:55.980Z,2026-07-30T02:52:54.523Z,1,105,0,0
AIR.PA,Airbus SE,France,REGULAR,34,2026-07-29T07:07:55.396Z,2026-07-29T15:22:54.842Z,26,59,0,0
BHP.AX,BHP Group Limited,Australia,POSTPOST,31,2026-07-29T06:22:55.814Z,2026-07-29T13:52:55.510Z,23,53,0,0
BHP.AX,BHP Group Limited,Australia,PRE,12,2026-07-29T21:07:55.273Z,2026-07-29T23:52:55.277Z,82,93,0,0
BHP.AX,BHP Group Limited,Australia,PREPRE,28,2026-07-29T14:07:55.569Z,2026-07-29T20:52:55.480Z,54,81,0,0
BHP.AX,BHP Group Limited,Australia,REGULAR,34,2026-07-29T00:52:56.576Z,2026-07-30T02:52:55.079Z,1,105,0,0
BTC-USD,Bitcoin USD,Cryptocurrency,REGULAR,105,2026-07-29T00:52:57.018Z,2026-07-30T02:52:55.561Z,1,105,0,0
HSBA.L,HSBC Holdings plc,United Kingdom,POST,3,2026-07-29T15:37:54.544Z,2026-07-29T16:07:54.494Z,60,62,0,0
HSBA.L,HSBC Holdings plc,United Kingdom,POSTPOST,27,2026-07-29T16:22:54.534Z,2026-07-29T22:52:54.236Z,63,89,0,0
HSBA.L,HSBC Holdings plc,United Kingdom,PRE,3,2026-07-29T06:22:54.895Z,2026-07-29T06:52:54.951Z,23,25,0,0
HSBA.L,HSBC Holdings plc,United Kingdom,PREPRE,38,2026-07-29T00:52:55.548Z,2026-07-30T02:52:54.088Z,1,105,0,0
HSBA.L,HSBC Holdings plc,United Kingdom,REGULAR,34,2026-07-29T07:07:54.965Z,2026-07-29T15:22:54.454Z,26,59,0,0
INGA.AS,ING Groep N.V.,Netherlands,POSTPOST,26,2026-07-29T15:37:54.687Z,2026-07-29T21:52:54.503Z,60,85,0,0
INGA.AS,ING Groep N.V.,Netherlands,PREPRE,45,2026-07-29T00:52:55.692Z,2026-07-30T02:52:54.241Z,1,105,0,0
INGA.AS,ING Groep N.V.,Netherlands,REGULAR,34,2026-07-29T07:07:55.115Z,2026-07-29T15:22:54.622Z,26,59,0,0
NESN.SW,Nestlé S.A.,Switzerland,POSTPOST,26,2026-07-29T15:37:55.153Z,2026-07-29T21:52:54.878Z,60,85,0,0
NESN.SW,Nestlé S.A.,Switzerland,PREPRE,45,2026-07-29T00:52:56.114Z,2026-07-30T02:52:54.655Z,1,105,0,0
NESN.SW,Nestlé S.A.,Switzerland,REGULAR,34,2026-07-29T07:07:55.548Z,2026-07-29T15:22:54.983Z,26,59,0,0
RELIANCE.NS,Reliance Industries Limited,India,POSTPOST,34,2026-07-29T10:07:55.850Z,2026-07-29T18:22:55.795Z,38,71,0,0
RELIANCE.NS,Reliance Industries Limited,India,PREPRE,46,2026-07-29T00:52:56.877Z,2026-07-30T02:52:55.361Z,1,105,0,0
RELIANCE.NS,Reliance Industries Limited,India,REGULAR,25,2026-07-29T03:52:56.427Z,2026-07-29T09:52:56.625Z,13,37,0,0
RY.TO,Royal Bank of Canada,Canada,POST,4,2026-07-29T20:07:54.282Z,2026-07-29T20:52:54.195Z,78,81,0,0
RY.TO,Royal Bank of Canada,Canada,POSTPOST,37,2026-07-29T00:52:55.401Z,2026-07-30T02:52:53.954Z,1,105,0,0
RY.TO,Royal Bank of Canada,Canada,PRE,6,2026-07-29T12:07:54.579Z,2026-07-29T13:22:54.485Z,46,51,0,0
RY.TO,Royal Bank of Canada,Canada,PREPRE,32,2026-07-29T04:07:54.843Z,2026-07-29T11:52:54.539Z,14,45,0,0
RY.TO,Royal Bank of Canada,Canada,REGULAR,26,2026-07-29T13:37:54.441Z,2026-07-29T19:52:54.276Z,52,77,0,0
SAP.DE,SAP SE,Germany,POST,12,2026-07-29T15:37:54.830Z,2026-07-29T18:22:54.768Z,60,71,0,0
SAP.DE,SAP SE,Germany,POSTPOST,14,2026-07-29T18:37:54.598Z,2026-07-29T21:52:54.612Z,72,85,0,0
SAP.DE,SAP SE,Germany,PRE,8,2026-07-29T05:07:55.219Z,2026-07-29T06:52:55.225Z,18,25,0,0
SAP.DE,SAP SE,Germany,PREPRE,37,2026-07-29T00:52:55.837Z,2026-07-30T02:52:54.377Z,1,105,0,0
SAP.DE,SAP SE,Germany,REGULAR,34,2026-07-29T07:07:55.253Z,2026-07-29T15:22:54.730Z,26,59,0,0
VALE3.SA,Vale S.A.,Brazil,POST,4,2026-07-29T20:07:55.595Z,2026-07-29T20:52:55.628Z,78,81,0,0
VALE3.SA,Vale S.A.,Brazil,POSTPOST,33,2026-07-29T00:52:56.730Z,2026-07-30T02:52:55.223Z,1,105,0,0
VALE3.SA,Vale S.A.,Brazil,PRE,1,2026-07-29T12:52:55.538Z,2026-07-29T12:52:55.538Z,49,49,0,0
VALE3.SA,Vale S.A.,Brazil,PREPRE,39,2026-07-29T03:07:56.109Z,2026-07-29T12:37:55.634Z,10,48,0,0
VALE3.SA,Vale S.A.,Brazil,REGULAR,28,2026-07-29T13:07:55.579Z,2026-07-29T19:52:55.976Z,50,77,0,0
