symbol,name,country_or_market,transition_index,from_market_state,to_market_state,from_round_index,to_round_index,from_observed_at_utc,to_observed_at_utc,elapsed_seconds,from_pre_market_fields_present,to_pre_market_fields_present,from_post_market_fields_present,to_post_market_fields_present
0700.HK,Tencent Holdings Limited,Hong Kong,1,PREPRE,PRE,1,2,2026-07-29T00:52:56.418Z,2026-07-29T01:07:55.842Z,899,False,False,False,False
0700.HK,Tencent Holdings Limited,Hong Kong,2,PRE,REGULAR,3,4,2026-07-29T01:22:55.984Z,2026-07-29T01:37:55.696Z,900,False,False,False,False
0700.HK,Tencent Holdings Limited,Hong Kong,3,REGULAR,POSTPOST,30,31,2026-07-29T08:07:55.636Z,2026-07-29T08:22:55.565Z,900,False,False,False,False
0700.HK,Tencent Holdings Limited,Hong Kong,4,POSTPOST,PREPRE,61,62,2026-07-29T15:52:55.501Z,2026-07-29T16:07:55.342Z,900,False,False,False,False
0700.HK,Tencent Holdings Limited,Hong Kong,5,PREPRE,PRE,97,98,2026-07-30T00:52:55.104Z,2026-07-30T01:07:55.023Z,900,False,False,False,False
0700.HK,Tencent Holdings Limited,Hong Kong,6,PRE,REGULAR,99,100,2026-07-30T01:22:54.943Z,2026-07-30T01:37:54.939Z,900,False,False,False,False
7203.T,Toyota Motor Corporation,Japan,1,REGULAR,POSTPOST,23,24,2026-07-29T06:22:55.523Z,2026-07-29T06:37:55.515Z,900,False,False,False,False
7203.T,Toyota Motor Corporation,Japan,2,POSTPOST,PREPRE,57,58,2026-07-29T14:52:55.364Z,2026-07-29T15:07:55.622Z,900,False,False,False,False
7203.T,Toyota Motor Corporation,Japan,3,PREPRE,REGULAR,93,94,2026-07-29T23:52:54.976Z,2026-07-30T00:07:54.964Z,900,False,False,False,False
AAPL,Apple Inc.,United States,1,POSTPOST,PREPRE,13,14,2026-07-29T03:52:54.709Z,2026-07-29T04:07:54.709Z,900,False,False,True,True
AAPL,Apple Inc.,United States,2,PREPRE,PRE,29,30,2026-07-29T07:52:54.558Z,2026-07-29T08:07:54.559Z,900,False,True,True,False
AAPL,Apple Inc.,United States,3,PRE,REGULAR,51,52,2026-07-29T13:22:54.317Z,2026-07-29T13:37:54.317Z,900,True,False,False,False
AAPL,Apple Inc.,United States,4,REGULAR,POST,77,78,2026-07-29T19:52:54.101Z,2026-07-29T20:07:54.101Z,900,False,False,False,True
AAPL,Apple Inc.,United States,5,POST,POSTPOST,93,94,2026-07-29T23:52:53.944Z,2026-07-30T00:07:53.944Z,900,False,False,True,True
AIR.PA,Airbus SE,France,1,PREPRE,REGULAR,25,26,2026-07-29T06:52:55.365Z,2026-07-29T07:07:55.396Z,900,False,False,False,False
AIR.PA,Airbus SE,France,2,REGULAR,POSTPOST,59,60,2026-07-29T15:22:54.842Z,2026-07-29T15:37:55.008Z,900,False,False,False,False
AIR.PA,Airbus SE,France,3,POSTPOST,PREPRE,85,86,2026-07-29T21:52:54.756Z,2026-07-29T22:07:54.757Z,900,False,False,False,False
BHP.AX,BHP Group Limited,Australia,1,REGULAR,POSTPOST,22,23,2026-07-29T06:07:56.063Z,2026-07-29T06:22:55.814Z,900,False,False,False,False
BHP.AX,BHP Group Limited,Australia,2,POSTPOST,PREPRE,53,54,2026-07-29T13:52:55.510Z,2026-07-29T14:07:55.569Z,900,False,False,False,False
BHP.AX,BHP Group Limited,Australia,3,PREPRE,PRE,81,82,2026-07-29T20:52:55.480Z,2026-07-29T21:07:55.273Z,900,False,False,False,False
BHP.AX,BHP Group Limited,Australia,4,PRE,REGULAR,93,94,2026-07-29T23:52:55.277Z,2026-07-30T00:07:55.249Z,900,False,False,False,False
HSBA.L,HSBC Holdings plc,United Kingdom,1,PREPRE,PRE,22,23,2026-07-29T06:07:54.947Z,2026-07-29T06:22:54.895Z,900,False,False,False,False
HSBA.L,HSBC Holdings plc,United Kingdom,2,PRE,REGULAR,25,26,2026-07-29T06:52:54.951Z,2026-07-29T07:07:54.965Z,900,False,False,False,False
HSBA.L,HSBC Holdings plc,United Kingdom,3,REGULAR,POST,59,60,2026-07-29T15:22:54.454Z,2026-07-29T15:37:54.544Z,900,False,False,False,False
HSBA.L,HSBC Holdings plc,United Kingdom,4,POST,POSTPOST,62,63,2026-07-29T16:07:54.494Z,2026-07-29T16:22:54.534Z,900,False,False,False,False
HSBA.L,HSBC Holdings plc,United Kingdom,5,POSTPOST,PREPRE,89,90,2026-07-29T22:52:54.236Z,2026-07-29T23:07:54.236Z,900,False,False,False,False
INGA.AS,ING Groep N.V.,Netherlands,1,PREPRE,REGULAR,25,26,2026-07-29T06:52:55.083Z,2026-07-29T07:07:55.115Z,900,False,False,False,False
INGA.AS,ING Groep N.V.,Netherlands,2,REGULAR,POSTPOST,59,60,2026-07-29T15:22:54.622Z,2026-07-29T15:37:54.687Z,900,False,False,False,False
INGA.AS,ING Groep N.V.,Netherlands,3,POSTPOST,PREPRE,85,86,2026-07-29T21:52:54.503Z,2026-07-29T22:07:54.466Z,900,False,False,False,False
NESN.SW,Nestlé S.A.,Switzerland,1,PREPRE,REGULAR,25,26,2026-07-29T06:52:55.571Z,2026-07-29T07:07:55.548Z,900,False,False,False,False
NESN.SW,Nestlé S.A.,Switzerland,2,REGULAR,POSTPOST,59,60,2026-07-29T15:22:54.983Z,2026-07-29T15:37:55.153Z,900,False,False,False,False
NESN.SW,Nestlé S.A.,Switzerland,3,POSTPOST,PREPRE,85,86,2026-07-29T21:52:54.878Z,2026-07-29T22:07:54.903Z,900,False,False,False,False
RELIANCE.NS,Reliance Industries Limited,India,1,PREPRE,REGULAR,12,13,2026-07-29T03:37:56.226Z,2026-07-29T03:52:56.427Z,900,False,False,False,False
RELIANCE.NS,Reliance Industries Limited,India,2,REGULAR,POSTPOST,37,38,2026-07-29T09:52:56.625Z,2026-07-29T10:07:55.850Z,899,False,False,False,False
RELIANCE.NS,Reliance Industries Limited,India,3,POSTPOST,PREPRE,71,72,2026-07-29T18:22:55.795Z,2026-07-29T18:37:55.544Z,900,False,False,False,False
RY.TO,Royal Bank of Canada,Canada,1,POSTPOST,PREPRE,13,14,2026-07-29T03:52:54.922Z,2026-07-29T04:07:54.843Z,900,False,False,False,False
RY.TO,Royal Bank of Canada,Canada,2,PREPRE,PRE,45,46,2026-07-29T11:52:54.539Z,2026-07-29T12:07:54.579Z,900,False,False,False,False
RY.TO,Royal Bank of Canada,Canada,3,PRE,REGULAR,51,52,2026-07-29T13:22:54.485Z,2026-07-29T13:37:54.441Z,900,False,False,False,False
RY.TO,Royal Bank of Canada,Canada,4,REGULAR,POST,77,78,2026-07-29T19:52:54.276Z,2026-07-29T20:07:54.282Z,900,False,False,False,False
RY.TO,Royal Bank of Canada,Canada,5,POST,POSTPOST,81,82,2026-07-29T20:52:54.195Z,2026-07-29T21:07:54.160Z,900,False,False,False,False
SAP.DE,SAP SE,Germany,1,PREPRE,PRE,17,18,2026-07-29T04:52:55.288Z,2026-07-29T05:07:55.219Z,900,False,False,False,False
SAP.DE,SAP SE,Germany,2,PRE,REGULAR,25,26,2026-07-29T06:52:55.225Z,2026-07-29T07:07:55.253Z,900,False,False,False,False
SAP.DE,SAP SE,Germany,3,REGULAR,POST,59,60,2026-07-29T15:22:54.730Z,2026-07-29T15:37:54.830Z,900,False,False,False,False
SAP.DE,SAP SE,Germany,4,POST,POSTPOST,71,72,2026-07-29T18:22:54.768Z,2026-07-29T18:37:54.598Z,900,False,False,False,False
SAP.DE,SAP SE,Germany,5,POSTPOST,PREPRE,85,86,2026-07-29T21:52:54.612Z,2026-07-29T22:07:54.625Z,900,False,False,False,False
VALE3.SA,Vale S.A.,Brazil,1,POSTPOST,PREPRE,9,10,2026-07-29T02:52:56.136Z,2026-07-29T03:07:56.109Z,900,False,False,False,False
VALE3.SA,Vale S.A.,Brazil,2,PREPRE,PRE,48,49,2026-07-29T12:37:55.634Z,2026-07-29T12:52:55.538Z,900,False,False,False,False
VALE3.SA,Vale S.A.,Brazil,3,PRE,REGULAR,49,50,2026-07-29T12:52:55.538Z,2026-07-29T13:07:55.579Z,900,False,False,False,False
