round_index,round_id,scheduled_date,scheduled_local_time,scheduled_at_utc,round_started_at_utc,round_completed_at_utc,schedule_offset_seconds,schedule_override,round_folder,sequence,sample_id,variant_id,label,variation_group,changed_parameter,range,interval,period1,period2,include_prepost,events,http_status,parse_status,result_classification,expected_top_level_found,chart_error_present,chart_error_code,chart_result_count,timestamp_count,first_timestamp,last_timestamp,timestamp_sequence_sha256,quote_bar_count,adjclose_count,null_indicator_value_count,meta_field_count,meta_keys_sha256,indicator_field_count,indicator_keys_sha256,event_type_count,event_count,event_identity_sha256,trading_period_group_count,trading_period_count,returned_range,returned_data_granularity,returned_exchange_name,returned_instrument_type,returned_currency,returned_timezone,response_bytes,elapsed_ms,attempt_count,auth_refresh_performed,raw_response_sha256,canonical_json_sha256,request_parameters_sha256,raw_response_file,metadata_file
1,day-01,2026-07-31,15:45:00,2026-07-31T19:45:00.000Z,2026-07-31T19:47:11.284Z,2026-07-31T19:47:13.665Z,131.284,same-day-late,rounds/day-01_2026-07-31,1,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-01_2026-07-31_000001_chart_baseline-5d-1d,baseline-5d-1d,"Baseline: 5d range, 1d interval",baseline,none,5d,1d,,,false,"div,splits,capitalGains",200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,5,1785159000,1785504600,228dda15f4aaa32fb20de8bef7597dd66cfdbc8d211d59eed20b79d5f74f2ea7,5,5,0,25,58db967334f1e9c4c80a6fd6d33d338457dbc721ed2a25ee39119feb4ebaa3c3,6,7ffa56f705207c63e565bcda8abd36ac9ee930f77c22aad1474700c7caa293d3,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,1d,NMS,EQUITY,USD,America/New_York,1611,206,1,False,ca37272d038cff42ef1c9348224cee83a22d0da01518a861b81c7d5915f7ede5,f5e53c0cd03787267c081111986f5c52e43537719e2cbd5ed91191ce7cd078b0,1eec7cd9b397c5ae6be2826f42f32f5b9a60b4a9f38f75ed0ba773badb8e7d96,raw/chart/baseline-5d-1d.raw.json,metadata/chart/baseline-5d-1d.meta.json
1,day-01,2026-07-31,15:45:00,2026-07-31T19:45:00.000Z,2026-07-31T19:47:11.284Z,2026-07-31T19:47:13.665Z,131.284,same-day-late,rounds/day-01_2026-07-31,2,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-01_2026-07-31_000002_chart_events-omitted,events-omitted,Omit events parameter,events,events omitted,5d,1d,,,false,,200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,5,1785159000,1785504600,228dda15f4aaa32fb20de8bef7597dd66cfdbc8d211d59eed20b79d5f74f2ea7,5,5,0,25,58db967334f1e9c4c80a6fd6d33d338457dbc721ed2a25ee39119feb4ebaa3c3,6,7ffa56f705207c63e565bcda8abd36ac9ee930f77c22aad1474700c7caa293d3,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,1d,NMS,EQUITY,USD,America/New_York,1611,177,1,False,6acaaf4e41fc14ff62c4b225340f53bfc66b1768a58cb876f402e8cf7b537532,3421c5f05254920480ffc069b5c6858c3a5af037e4ac66d698e7bb45d7e2672e,a9d2f19d8a23fce21ffc73b826f5448260809374d48286a5135417e3e399cf51,raw/chart/events-omitted.raw.json,metadata/chart/events-omitted.meta.json
1,day-01,2026-07-31,15:45:00,2026-07-31T19:45:00.000Z,2026-07-31T19:47:11.284Z,2026-07-31T19:47:13.665Z,131.284,same-day-late,rounds/day-01_2026-07-31,3,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-01_2026-07-31_000003_chart_events-div-only,events-div-only,Request dividend events only,events,events,5d,1d,,,false,div,200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,5,1785159000,1785504600,228dda15f4aaa32fb20de8bef7597dd66cfdbc8d211d59eed20b79d5f74f2ea7,5,5,0,25,58db967334f1e9c4c80a6fd6d33d338457dbc721ed2a25ee39119feb4ebaa3c3,6,7ffa56f705207c63e565bcda8abd36ac9ee930f77c22aad1474700c7caa293d3,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,1d,NMS,EQUITY,USD,America/New_York,1611,200,1,False,bc2b83e4f4993faccb68d8de3aa0d08a2663ab2b0bbf8afd366eada164fd458d,3421c5f05254920480ffc069b5c6858c3a5af037e4ac66d698e7bb45d7e2672e,cac1ae9ee6b35ff3b631fac256965d502ff3fd6101d5b4715dae421041bc7433,raw/chart/events-div-only.raw.json,metadata/chart/events-div-only.meta.json
1,day-01,2026-07-31,15:45:00,2026-07-31T19:45:00.000Z,2026-07-31T19:47:11.284Z,2026-07-31T19:47:13.665Z,131.284,same-day-late,rounds/day-01_2026-07-31,4,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-01_2026-07-31_000004_chart_range-1mo-1d,range-1mo-1d,Extend range to one month,range,range,1mo,1d,,,false,"div,splits,capitalGains",200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,23,1782826200,1785504600,d2ac0fefe70ef6cfecc3512c9c941aec484750ab8cf9f5582a17bba31be79964,23,23,0,25,58db967334f1e9c4c80a6fd6d33d338457dbc721ed2a25ee39119feb4ebaa3c3,6,7ffa56f705207c63e565bcda8abd36ac9ee930f77c22aad1474700c7caa293d3,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,1mo,1d,NMS,EQUITY,USD,America/New_York,3537,190,1,False,d533e7099ff5a89c632e03fce22f4dd8763f773a4b555a0e6a2d1aabee422f9d,908b563159308deb34ad29b30c5bc09a78101c369ba875818d36e008e9736eac,7b6f8b44e15f995a7d0fec1ed6a5fd3cc613bdf56654afc8a5d3fb33008603e2,raw/chart/range-1mo-1d.raw.json,metadata/chart/range-1mo-1d.meta.json
1,day-01,2026-07-31,15:45:00,2026-07-31T19:45:00.000Z,2026-07-31T19:47:11.284Z,2026-07-31T19:47:13.665Z,131.284,same-day-late,rounds/day-01_2026-07-31,5,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-01_2026-07-31_000005_chart_interval-1h-5d,interval-1h-5d,Change interval to one hour,interval,interval,5d,1h,,,false,"div,splits,capitalGains",200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,36,1785159000,1785527232,5a6396a7d18f532d01cd603a2f738ed4da1e0b60691ddbf7d47279fc9e9d50d5,36,0,0,28,569cb36e2f871a68d459812deb9b9439d3967f7a47da93bf92a3039e70b41a68,5,8d9fd19295a0ca5f624c3f18f71120142bafb6e3508f90641049f5239f4ac40b,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,1h,NMS,EQUITY,USD,America/New_York,4666,137,1,False,4fb691855231a86ac3cf5cdb8569eab8f5c853090bb7340afb2cda47d75d4ceb,ddecef8e444c132dfeef8767fd5ac6e88a4936060100ce12b30f471009c06d96,1f50e38da6ac3e6a982feb92ed52d311aa4db87cf79c23074b4845680c3015f2,raw/chart/interval-1h-5d.raw.json,metadata/chart/interval-1h-5d.meta.json
1,day-01,2026-07-31,15:45:00,2026-07-31T19:45:00.000Z,2026-07-31T19:47:11.284Z,2026-07-31T19:47:13.665Z,131.284,same-day-late,rounds/day-01_2026-07-31,6,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-01_2026-07-31_000006_chart_interval-5m-5d,interval-5m-5d,Change interval to five minutes,interval,interval,5d,5m,,,false,"div,splits,capitalGains",200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,389,1785159000,1785527232,e61a644fc7fa5c03dc4fafca69a7c9841e072061cbdcf7c1a108a2d8abb089f3,389,0,0,28,569cb36e2f871a68d459812deb9b9439d3967f7a47da93bf92a3039e70b41a68,5,8d9fd19295a0ca5f624c3f18f71120142bafb6e3508f90641049f5239f4ac40b,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,5m,NMS,EQUITY,USD,America/New_York,36092,209,1,False,49c73094eeef80a896c7a6ba7ba6c301e72aa7e152f4f12d7bb8d8249c0e9b38,cd2e39fab831f388518d79e5fc6533533b735eabe2512645ec18a901217748de,7a65da50d09ac909ffc2468c5909ddd48f6d409bed0f3256b984e29d8f3abda6,raw/chart/interval-5m-5d.raw.json,metadata/chart/interval-5m-5d.meta.json
1,day-01,2026-07-31,15:45:00,2026-07-31T19:45:00.000Z,2026-07-31T19:47:11.284Z,2026-07-31T19:47:13.665Z,131.284,same-day-late,rounds/day-01_2026-07-31,7,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-01_2026-07-31_000007_chart_include-prepost-true-5m,include-prepost-true-5m,Include pre/post bars at five-minute interval,includePrePost,includePrePost,5d,5m,,,true,"div,splits,capitalGains",200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,911,1785139200,1785527232,8922a2917d35a556b60378de513b34a8f372902e2ef0d59c755ab5cd4a49c8c3,911,0,0,28,569cb36e2f871a68d459812deb9b9439d3967f7a47da93bf92a3039e70b41a68,5,8d9fd19295a0ca5f624c3f18f71120142bafb6e3508f90641049f5239f4ac40b,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,5m,NMS,EQUITY,USD,America/New_York,58906,202,1,False,8ca35f17770aab7d47cf07cdce1609fd1ebc30017efe2ab3b454fc532a4aeda7,5d18c5c34f6a5cc35c42d3a8d0e8d8ccbf494badb836e7336fc2029155365696,82996882f8caa4c8ce884d2704ecea2b8fd7799d78935930a62e46fdf4cd0832,raw/chart/include-prepost-true-5m.raw.json,metadata/chart/include-prepost-true-5m.meta.json
1,day-01,2026-07-31,15:45:00,2026-07-31T19:45:00.000Z,2026-07-31T19:47:11.284Z,2026-07-31T19:47:13.665Z,131.284,same-day-late,rounds/day-01_2026-07-31,8,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-01_2026-07-31_000008_chart_interval-1m-5d,interval-1m-5d,Change interval to one minute,interval,interval,5d,1m,,,false,"div,splits,capitalGains",200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,1939,1785159000,1785527232,95594a404e442a353476f896f16e406e677ebd15f42b590f1810b5cf0c41d1d8,1939,0,5,28,569cb36e2f871a68d459812deb9b9439d3967f7a47da93bf92a3039e70b41a68,5,8d9fd19295a0ca5f624c3f18f71120142bafb6e3508f90641049f5239f4ac40b,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,1m,NMS,EQUITY,USD,America/New_York,172642,264,1,False,ce605810e7effd263a9fdbc30258b70530f67406434efd4b6e07d60cfc1fed5f,f5c4780e0c5c269c7796a249e9de2057c7e5125154e84d80412b765029b4a351,dde4dcb17d7e2834ae2ce966db9ccc1be54a606de72c848118b1bafb60cadca0,raw/chart/interval-1m-5d.raw.json,metadata/chart/interval-1m-5d.meta.json
1,day-01,2026-07-31,15:45:00,2026-07-31T19:45:00.000Z,2026-07-31T19:47:11.284Z,2026-07-31T19:47:13.665Z,131.284,same-day-late,rounds/day-01_2026-07-31,9,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-01_2026-07-31_000009_chart_explicit-period-5d-1d,explicit-period-5d-1d,Use explicit five-day period,request selector,range replaced by period1/period2,,1d,1785095231,1785527231,false,"div,splits,capitalGains",200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,5,1785159000,1785504600,228dda15f4aaa32fb20de8bef7597dd66cfdbc8d211d59eed20b79d5f74f2ea7,5,5,0,25,58db967334f1e9c4c80a6fd6d33d338457dbc721ed2a25ee39119feb4ebaa3c3,6,7ffa56f705207c63e565bcda8abd36ac9ee930f77c22aad1474700c7caa293d3,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,,1d,NMS,EQUITY,USD,America/New_York,1609,193,1,False,886bbbb22a35a5ab80085d5f7ce7b0b128b1a34d3fabbbab3358a416c57acbea,be2aec9629c781f44f3cea21354d86648f742e40b199cfee197853c22f3df301,834bbaab9387020d8a3fda0a2a5dbcb1b17ab67bce56b7738828a91b3ddddd88,raw/chart/explicit-period-5d-1d.raw.json,metadata/chart/explicit-period-5d-1d.meta.json
2,day-02,2026-08-03,15:45:00,2026-08-03T19:45:00.000Z,2026-08-03T19:47:12.136Z,2026-08-03T19:47:14.253Z,132.137,same-day-late,rounds/day-02_2026-08-03,1,2026-07-31_to_2026-08-04_study-06-chart-repeated-day-stability_day-02_2026-08-03_000001_chart_baseline-5d-1d,baseline-5d-1d,"Baseline: 5d range, 1d interval",baseline,none,5d,1d,,,false,"div,splits,capitalGains",200,VALID_JSON,EXPECTED_TOP_LEVEL_PRESENT,True,False,,1,5,1785245400,1785763800,3e282b36fbdc69114ef32aabec975eca1d26a3a69f9c219d0aa97afa443ff112,5,5,0,25,58db967334f1e9c4c80a6fd6d33d338457dbc721ed2a25ee39119feb4ebaa3c3,6,7ffa56f705207c63e565bcda8abd36ac9ee930f77c22aad1474700c7caa293d3,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,3,3,5d,1d,NMS,EQUITY,USD,America/New_York,1616,169,1,False,80afd1be7126aca83562fa44aa18e857ab583176b09f374e80c2ec8d5faa051c,27095deebbc5821597929f4d35800d757afca4893cc14d6a36e3e0b1abbf922b,1eec7cd9b397c5ae6be2826f42f32f5b9a60b4a9f38f75ed0ba773badb8e7d96,raw/chart/baseline-5d-1d.raw.json,metadata/chart/baseline-5d-1d.meta.json
