variant_id,round_index,round_id,control_round_index,control_round_id,scheduled_date,control_scheduled_date,request_parameters_equal,timestamp_sequence_equal,timestamp_overlap_count,timestamps_only_in_round,timestamps_only_in_control,meta_key_set_equal,indicator_key_set_equal,event_identity_set_equal,canonical_json_equal,raw_response_equal,response_bytes_delta,timestamp_count_delta,quote_bar_count_delta,adjclose_count_delta,null_indicator_value_count_delta,event_count_delta
baseline-5d-1d,1,day-01,1,day-01,2026-07-31,2026-07-31,True,True,5,0,0,True,True,True,True,True,0,0,0,0,0,0
baseline-5d-1d,2,day-02,1,day-01,2026-08-03,2026-07-31,True,False,4,1,1,True,True,True,False,False,5,0,0,0,0,0
baseline-5d-1d,3,day-03,1,day-01,2026-08-04,2026-07-31,True,False,3,2,2,True,True,True,False,False,6,0,0,0,0,0
events-div-only,1,day-01,1,day-01,2026-07-31,2026-07-31,True,True,5,0,0,True,True,True,True,True,0,0,0,0,0,0
events-div-only,2,day-02,1,day-01,2026-08-03,2026-07-31,True,False,4,1,1,True,True,True,False,False,6,0,0,0,0,0
events-div-only,3,day-03,1,day-01,2026-08-04,2026-07-31,True,False,3,2,2,True,True,True,False,False,7,0,0,0,0,0
events-omitted,1,day-01,1,day-01,2026-07-31,2026-07-31,True,True,5,0,0,True,True,True,True,True,0,0,0,0,0,0
events-omitted,2,day-02,1,day-01,2026-08-03,2026-07-31,True,False,4,1,1,True,True,True,False,False,5,0,0,0,0,0
events-omitted,3,day-03,1,day-01,2026-08-04,2026-07-31,True,False,3,2,2,True,True,True,False,False,6,0,0,0,0,0
explicit-period-5d-1d,1,day-01,1,day-01,2026-07-31,2026-07-31,True,True,5,0,0,True,True,True,True,True,0,0,0,0,0,0
explicit-period-5d-1d,2,day-02,1,day-01,2026-08-03,2026-07-31,False,False,3,1,2,True,True,True,False,False,-103,-1,-1,-1,0,0
explicit-period-5d-1d,3,day-03,1,day-01,2026-08-04,2026-07-31,False,False,2,2,3,True,True,True,False,False,-106,-1,-1,-1,0,0
include-prepost-true-5m,1,day-01,1,day-01,2026-07-31,2026-07-31,True,True,911,0,0,True,True,True,True,True,0,0,0,0,0,0
include-prepost-true-5m,2,day-02,1,day-01,2026-08-03,2026-07-31,True,False,718,193,193,True,True,True,False,False,80,0,0,0,0,0
include-prepost-true-5m,3,day-03,1,day-01,2026-08-04,2026-07-31,True,False,526,385,385,True,True,True,False,False,-125,0,0,0,0,0
interval-1h-5d,1,day-01,1,day-01,2026-07-31,2026-07-31,True,True,36,0,0,True,True,True,True,True,0,0,0,0,0,0
interval-1h-5d,2,day-02,1,day-01,2026-08-03,2026-07-31,True,False,28,8,8,True,True,True,False,False,29,0,0,0,0,0
interval-1h-5d,3,day-03,1,day-01,2026-08-04,2026-07-31,True,False,21,15,15,True,True,True,False,False,32,0,0,0,0,0
interval-1m-5d,1,day-01,1,day-01,2026-07-31,2026-07-31,True,True,1939,0,0,True,True,True,True,True,0,0,0,0,0,0
interval-1m-5d,2,day-02,1,day-01,2026-08-03,2026-07-31,True,False,1548,391,391,True,True,True,False,False,77,0,0,0,0,0
interval-1m-5d,3,day-03,1,day-01,2026-08-04,2026-07-31,True,False,1158,781,781,True,True,True,False,False,-134,0,0,0,0,0
interval-5m-5d,1,day-01,1,day-01,2026-07-31,2026-07-31,True,True,389,0,0,True,True,True,True,True,0,0,0,0,0,0
interval-5m-5d,2,day-02,1,day-01,2026-08-03,2026-07-31,True,False,310,79,79,True,True,True,False,False,35,0,0,0,0,0
interval-5m-5d,3,day-03,1,day-01,2026-08-04,2026-07-31,True,False,232,157,157,True,True,True,False,False,-60,0,0,0,0,0
range-1mo-1d,1,day-01,1,day-01,2026-07-31,2026-07-31,True,True,23,0,0,True,True,True,True,True,0,0,0,0,0,0
range-1mo-1d,2,day-02,1,day-01,2026-08-03,2026-07-31,True,False,20,1,3,True,True,True,False,False,-217,-2,-2,-2,0,0
range-1mo-1d,3,day-03,1,day-01,2026-08-04,2026-07-31,True,False,20,2,3,True,True,True,False,False,-105,-1,-1,-1,0,0
